Time,Position with PID,Velocity with PID,Control signals,Error
0.0,1.0,0.0,-3.05,-1.0
0.1,0.9752696136777061,-0.48844752073088316,-1.0245723217170037,-0.9752696136777061
0.2,0.9039070484984847,-0.9291141541285989,-0.9051407512488514,-0.9039070484984847
0.30000000000000004,0.7916870478114459,-1.3027149684169246,-0.7507902319367503,-0.7916870478114459
0.4,0.6461067598751483,-1.5941951262089675,-0.5707947074956924,-0.6461067598751483
0.5,0.4759341016993431,-1.7932622213201441,-0.3752340139258391,-0.4759341016993431
0.6000000000000001,0.2907156616558632,-1.8946587901381449,-0.1744597932298031,-0.2907156616558632
0.7000000000000001,0.10027043519510367,-1.8981746421343655,0.021425484305760578,-0.10027043519510367
0.8,-0.08580506998967045,-1.8084110173054664,0.20305180043804744,0.08580506998967045
0.9,-0.2585967144684534,-1.6343202352414063,0.36220555922827063,0.2585967144684534
1.0,-0.4102767057396433,-1.3885543477701594,0.49217607937125674,0.4102767057396433
1.1,-0.5344345579737416,-1.0866641286841747,0.5880113814298589,0.5344345579737416
1.2000000000000002,-0.6263224242278449,-0.7461949380766062,0.6466753969353644,0.6263224242278449
1.3,-0.6830069088218318,-0.3857287613130458,0.66710346365021,0.6830069088218318
1.4000000000000001,-0.7034244516701675,-0.02392221202783669,0.6501583455907519,0.7034244516701675
1.5,-0.688342303279754,0.3214122379474175,0.5984939298868275,0.688342303279754
1.6,-0.64023160603115,0.6341388255878734,0.5163377152234002,0.64023160603115
1.7000000000000002,-0.5630630753921049,0.9005081973472718,0.4092066715730779,0.5630630753921049
1.8,-0.46203909839298435,1.1097154461680894,0.2835737567734558,0.46203909839298435
1.9000000000000001,-0.34327848496378,1.254286506126416,0.14650379473227282,0.34327848496378
2.0,-0.21347162437076742,1.3302823198908291,0.005278021030182156,0.21347162437076742
2.1,-0.07952444849631421,1.3373196445110025,-0.1329735629823366,0.07952444849631421
2.2,0.05179082695340761,1.2784164371659994,-0.261614578930266,-0.05179082695340761
2.3000000000000003,0.1741613723234137,1.1596779373998711,-0.3748037327570113,-0.1741613723234137
2.4000000000000004,0.2820209889187161,0.9898466278326328,-0.46774254124884207,-0.2820209889187161
2.5,0.3707867248440087,0.7797447870634499,-0.5368598520763157,-0.3707867248440087
